HCIid	drug	fit_GR	fit_rel_cell	experiment	concentration_points	ctrl_cell_doublings	GR50	GRmax	GR_AOC	GEC50	GRinf	h_GR	r2_GR	pval_GR	flat_fit_GR	IC50	Emax	AUC	EC50	Einf	h	r2_rel_cell	pval_rel_cell	flat_fit_rel_cell
19-12809	5_aza	sigmoid	sigmoid	19-12809 5_aza	8	0.972824117885217	0.869566952998508	0.177289802994424	0.341632520698651	0.588994498624406	0.128196882528482	0.760420933442801	0.32143166002679	1.21590281683908e-08	NA	109.84300677329	0.588482113186764	0.827404291452587	109.84300677329	0	0.265164746297407	0.286636144530341	1.27532754425797e-07	NA
19-12809	a_966492	sigmoid	sigmoid	19-12809 a_966492	8	0.972824117885217	7.51296341515493	0.225121811189667	0.262414259133407	294.881224091246	-1	0.299354074458701	0.370149134904342	3.66583842494553e-10	NA	373.373647401432	0.628519262325885	0.874219662179811	373.373647401432	0	0.296612166311333	0.366425528748618	4.83604664762612e-10	NA
19-12809	abemaciclib	sigmoid	sigmoid	19-12809 abemaciclib	8	0.972824117885217	34.4999076133788	0.440884485089744	0.246128215704772	74.4346593504861	-0.0840353310380793	0.202029186130438	0.175774000313473	0.00011328608476775	NA	6955828.93974822	0.730654203198659	0.88381998022873	118.216244869467	0.447832632602571	0.205794263931224	0.177863249910897	0.000100547414985587	NA
19-12809	adavosertib	sigmoid	sigmoid	19-12809 adavosertib	8	0.972824117885217	0.277027876255633	-0.212503323323973	0.495293975973621	0.422559260856604	-0.222845625553004	0.872992629508156	0.764808928002235	2.86272141145749e-30	NA	2.81045934096485	0.406357622947275	0.75913432890713	0.437984970437164	0.401991615310645	0.87661452632269	0.782008469176854	8.06607387978287e-32	NA
19-12809	afatinib	sigmoid	sigmoid	19-12809 afatinib	8	0.972824117885217	0.000615868069032999	-0.99243291140461	1.25305551539666	0.0124877981184139	-1	0.365051200153289	0.714447783989857	2.61348575308081e-26	NA	0.0147810087712733	0.00356072303895495	0.382043283247764	0.0147810087712733	0	0.375520578379925	0.763153490637652	3.98059927024479e-30	NA
19-12809	alisertib	sigmoid	sigmoid	19-12809 alisertib	8	0.972824117885217	0.244783380266656	0.32522373509429	0.367939397160967	0.0194105827979609	0.40614721820786	0.660029291125305	0.266025019835545	4.86428515621576e-07	NA	38435.2279982247	0.675944102879242	0.823885735820359	77.284264579178	0.318105009430565	0.162850632269982	0.246350770514434	1.6863790377603e-06	NA
19-12809	alpelisib	sigmoid	sigmoid	19-12809 alpelisib	8	0.972824117885217	1.09551386564829	-0.634283649783439	0.430818803487296	6.48577813021877	-1	0.617757275828001	0.801226211833649	1.0540916637519e-33	NA	6.96089056672568	0.190020344328927	0.788103714402711	6.96089056672568	0	0.622691573112545	0.797335418217345	2.62155679560274e-33	NA
19-12809	amg232	sigmoid	sigmoid	19-12809 amg232	8	0.972824117885217	35.18196969881	0.394237550078348	0.183111415590485	1405.66489085909	-1	0.297910015196444	0.275551469804471	2.63241389758828e-07	NA	1749.25264153687	0.707411140084894	0.909676761986474	1749.25264153687	0	0.290548266965283	0.266776313894102	4.6356948652695e-07	NA
19-12809	astx660	sigmoid	sigmoid	19-12809 astx660	8	0.972824117885217	0.648501899381224	-0.782342253313234	0.487525002949238	7.28392013401737	-1	0.454204838834414	0.598154280950782	2.45917403398399e-19	NA	7.6707826742523	0.106559621292466	0.762747420631298	7.6707826742523	0	0.485754907375754	0.617722613437981	2.35393566924726e-20	NA
19-12809	birinapant	sigmoid	sigmoid	19-12809 birinapant	8	0.972824117885217	0.0282881015295261	-0.306326992820009	0.639755513033044	4.24915757871485	-1	0.219194866653211	0.565553472846501	9.61628901057001e-18	NA	5.31648062089323	0.360407536031115	0.689339417554657	5.31648062089323	0	0.218786563259978	0.575803767877347	3.13068888467352e-18	NA
19-12809	carboplatin	sigmoid	sigmoid	19-12809 carboplatin	8	0.972824117885217	1000.26512874858	0.461389511156529	0.20736121907693	97.1853773389014	0.157428751928546	0.162189422977252	0.0867091163817731	0.0140808464128448	NA	Inf	0.743689091563676	0.899573165786549	127.63162643484	0.585730784193349	0.159571899965736	0.0841727816627286	0.0160411939525726	NA
19-12809	copanlisib	sigmoid	sigmoid	19-12809 copanlisib	8	0.972824117885217	0.00109866426669955	-0.769499134807615	1.25808161726506	0.00638234747427162	-0.810659771940879	0.547718238310232	0.768900784456608	1.25466606131628e-30	NA	0.0108779144061096	0.114271709067426	0.379834565128177	0.0074752770657739	0.096557618518025	0.571995048601445	0.832224969637686	3.64908790859521e-37	NA
19-12809	dmso	sigmoid	sigmoid	19-12809 dmso	8	0.972824117885217	Inf	0.806685202623174	0.160025837111704	3.67548424455815	0.600172567466836	0.112207377702167	0.0306006074189483	0.00264255456011572	NA	Inf	0.910350944635782	0.922344212171459	5.22445333563121	0.805363565017191	0.10344753644177	0.0261627045365677	0.00632270547562104	NA
19-12809	docetaxel	flat	sigmoid	19-12809 docetaxel	8	0.972824117885217	-Inf	0.0329475512434232	0.977746103386963	0	0.0329475512434232	0.01	-0.0797625803619699	1	0.0217966881786245	13.2509610718987	0.527389737452534	0.522914173105026	1.6e-06	0.496733300419855	0.315816793003459	0.0639495259715082	0.0447780909903626	NA
19-12809	entinostat	sigmoid	sigmoid	19-12809 entinostat	8	0.972824117885217	0.299066013043533	-0.835957266361523	0.632985432717337	1.50088780134245	-1	0.681036369976068	0.843360492902538	1.44664333033419e-38	NA	1.59755699288409	0.0872716011994566	0.688360371918805	1.59755699288409	0	0.670118797012695	0.852219263386701	9.37643759622725e-40	NA
19-12809	erdafatinib	sigmoid	sigmoid	19-12809 erdafatinib	8	0.972824117885217	8.9512478404089	-0.972477559959607	0.306187904369701	13.4724799829558	-1	2.68703875015545	0.864546167855694	1.56383497880898e-41	NA	13.6668757339641	0.0125733579566239	0.849020656434709	13.6668757339641	0	2.80471811574855	0.869603280301006	2.61537106938314e-42	NA
19-12809	eribulin	flat	flat	19-12809 eribulin	8	0.972824117885217	-Inf	-0.0746534212496747	0.935530783835331	0	-0.0746534212496747	0.01	-0.0383910173468633	1	0.0724119834414429	Inf	0.476266471632867	0.543693415737099	0	0.476266471632867	0.01	-0.0424094269750186	1	0.547638160332135
19-12809	everolimus	sigmoid	sigmoid	19-12809 everolimus	8	0.972824117885217	5.7591296629849e-09	-0.8990606219197	0.951011614593075	1.6e-06	-0.377700441777617	0.1	0.176241019947703	0.000110308153380558	NA	0.172923635866962	0.0435106907115157	0.534062815521532	0.172923635866962	0	0.136511942518399	0.312219752567918	2.29158438598644e-08	NA
